index_date,mining_sector_credit_operations_(r$_millions)_forecast
2021-10-01,16041.671169664249
2021-11-01,16001.029198565644
2021-12-01,15949.707871368775
2022-01-01,16061.939739387415
2022-02-01,16004.673703007282
2022-03-01,16252.770224834943
2022-04-01,15895.854744218866
2022-05-01,15692.504176306404
2022-06-01,15586.468729383238
2022-07-01,15241.769107571521
2022-08-01,15182.451855200688
2022-09-01,15079.379862043903
